セッション情報
項目,値
セッション名,test2
ファイル名,samle_pca_data_02.csv
分析手法,クラスター分析
分析日時,2025-06-04 07:20:16
サンプル数,22
変数数,6

評価指標
指標,値
シルエットスコア,0.0000
クラスター数,3
総クラスター内平方和,0.0000
クラスター別サイズ,
クラスター 1,3
クラスター 2,11
クラスター 3,8

クラスター統計
統計情報が見つかりませんでした

クラスター割り当て結果
サンプル名,クラスターID,クラスターラベル
イヤホンA,2,クラスター 3
イヤホンB,1,クラスター 2
イヤホンC,2,クラスター 3
カメラA,1,クラスター 2
カメラB,1,クラスター 2
カメラC,1,クラスター 2
スピーカーA,2,クラスター 3
スピーカーB,1,クラスター 2
スマートフォンA,1,クラスター 2
スマートフォンB,1,クラスター 2
スマートフォンC,2,クラスター 3
タブレットA,2,クラスター 3
タブレットB,1,クラスター 2
タブレットC,2,クラスター 3
デスクトップA,2,クラスター 3
デスクトップB,1,クラスター 2
ノートPCA,1,クラスター 2
ノートPCB,2,クラスター 3
ノートPCC,1,クラスター 2
時計A,0,クラスター 1
時計B,0,クラスター 1
時計C,0,クラスター 1

