セッション情報
項目,値
セッション名,test2
ファイル名,samle_pca_data_01.csv
分析手法,クラスター分析
分析日時,2025-06-04 07:25:46
サンプル数,30
変数数,9

評価指標
指標,値
シルエットスコア,0.4648
Calinski-Harabasz指標,52.8121
Davies-Bouldin指標,0.7094
慣性,54.9673
クラスター数,3

クラスター統計
クラスター 1 (サイズ: 11)
メンバー,"顧客002, 顧客005, 顧客008, 顧客012, 顧客015, 顧客016, 顧客019, 顧客022, 顧客025, 顧客026, 顧客030"
変数,平均,標準偏差,最小値,最大値
年収,5545454.5455,568090.9018,4700000.0000,6300000.0000
年齢,35.8182,2.8220,32.0000,40.0000
投資額,831818.1818,292636.9143,450000.0000,1300000.0000
貯蓄額,3200000.0000,579655.0698,2300000.0000,3900000.0000
家族人数,3.0909,0.5394,2.0000,4.0000
教育年数,18.3636,0.8090,18.0000,20.0000
月間支出,294090.9091,32157.2839,245000.0000,335000.0000
車ローン,830000.0000,110815.1614,600000.0000,980000.0000
住宅ローン,16363636.3636,3256462.1070,11000000.0000,20500000.0000

クラスター 2 (サイズ: 11)
メンバー,"顧客001, 顧客003, 顧客006, 顧客009, 顧客011, 顧客014, 顧客018, 顧客021, 顧客023, 顧客027, 顧客029"
変数,平均,標準偏差,最小値,最大値
年収,3918181.8182,462208.1389,3200000.0000,4600000.0000
年齢,28.1818,2.0405,25.0000,31.0000
投資額,181818.1818,119148.4941,50000.0000,400000.0000
貯蓄額,1531818.1818,467050.7078,800000.0000,2200000.0000
家族人数,1.6364,0.5045,1.0000,2.0000
教育年数,15.6364,0.8090,14.0000,16.0000
月間支出,201818.1818,26577.5024,160000.0000,240000.0000
車ローン,423636.3636,205536.9907,0.0000,700000.0000
住宅ローン,5227272.7273,3920227.2661,0.0000,10000000.0000

クラスター 3 (サイズ: 8)
メンバー,"顧客004, 顧客007, 顧客010, 顧客013, 顧客017, 顧客020, 顧客024, 顧客028"
変数,平均,標準偏差,最小値,最大値
年収,7275000.0000,640869.9445,6500000.0000,8500000.0000
年齢,45.0000,3.2950,41.0000,51.0000
投資額,2300000.0000,630192.7143,1600000.0000,3500000.0000
貯蓄額,5412500.0000,989137.4309,4200000.0000,7200000.0000
家族人数,3.5000,0.7559,2.0000,4.0000
教育年数,20.7500,1.0351,20.0000,22.0000
月間支出,385625.0000,34686.0923,345000.0000,450000.0000
車ローン,1010000.0000,419285.1059,0.0000,1300000.0000
住宅ローン,24875000.0000,3044315.5459,21000000.0000,30000000.0000

クラスター割り当て結果
座標データが見つかりませんでした

