ID,商品品質1,商品品質2,商品品質3,サービス1,サービス2,サービス3,価格1,価格2,価格3,利便性1,利便性2,利便性3
顧客001,5,4,5,3,4,3,2,3,2,4,5,4
顧客002,4,5,4,4,5,4,3,2,3,3,4,3
顧客003,3,3,4,5,4,5,4,4,3,2,3,2
顧客004,5,5,5,2,3,2,1,2,1,5,4,5
顧客005,2,3,2,4,3,4,5,4,5,3,2,3
顧客006,4,4,5,3,4,3,2,3,2,4,4,5
顧客007,5,4,4,5,5,4,3,3,4,3,4,3
顧客008,3,4,3,4,5,5,4,5,4,2,3,2
顧客009,4,5,5,2,2,3,1,1,2,5,5,4
顧客010,2,2,3,3,4,3,5,5,4,3,2,3
顧客011,5,5,4,4,3,4,2,2,3,4,5,4
顧客012,3,4,4,5,4,5,3,4,3,3,3,4
顧客013,4,3,5,3,4,2,4,3,4,2,3,2
顧客014,5,4,3,4,5,4,2,3,2,5,4,5
顧客015,2,3,3,2,3,3,5,4,5,2,2,3
顧客016,4,5,4,4,4,5,3,3,3,4,4,3
顧客017,3,3,4,5,5,4,4,4,4,3,3,4
顧客018,5,5,5,3,2,3,1,2,1,5,5,5
顧客019,2,2,2,4,3,4,5,5,4,2,2,2
顧客020,4,4,4,3,4,3,3,3,3,4,4,4
顧客021,5,4,5,5,4,5,2,3,2,3,4,3
顧客022,3,3,3,4,5,4,4,4,5,2,3,2
顧客023,4,5,4,2,3,2,3,2,3,5,4,5
顧客024,2,3,2,3,2,3,5,4,4,3,2,3
顧客025,5,5,4,4,5,4,2,2,3,4,5,4
顧客026,3,4,3,5,4,5,3,4,3,2,3,2
顧客027,4,3,4,3,4,3,4,3,4,4,3,4
顧客028,5,4,5,4,3,4,1,2,2,5,4,5
顧客029,2,2,3,2,3,2,5,5,4,2,2,3
顧客030,4,4,4,4,4,4,3,3,3,4,4,4
顧客031,5,5,5,3,4,3,2,2,2,5,5,4
顧客032,3,3,2,5,5,4,4,4,5,3,3,2
顧客033,4,4,5,2,3,2,3,3,2,4,4,5
顧客034,2,3,3,4,2,4,5,4,5,2,3,3
顧客035,5,4,4,4,5,4,2,3,2,5,4,4
顧客036,3,4,3,5,4,5,3,4,4,3,4,3
顧客037,4,3,4,3,3,3,4,3,3,4,3,4
顧客038,5,5,5,2,3,2,1,2,1,5,5,5
顧客039,2,2,2,4,4,5,5,5,4,2,2,2
顧客040,4,4,4,3,4,3,3,3,3,4,4,4
顧客041,5,4,5,4,5,4,2,3,2,3,4,3
顧客042,3,3,4,5,4,5,4,4,4,2,3,4
顧客043,4,5,3,3,2,3,3,2,3,5,4,3
顧客044,2,3,2,2,3,2,5,4,5,3,2,2
顧客045,5,5,5,5,4,5,1,2,1,4,5,5
顧客046,3,4,3,4,5,4,4,3,4,2,3,3
顧客047,4,3,4,3,4,3,3,4,3,4,3,4
顧客048,5,4,5,4,3,4,2,2,2,5,4,5
顧客049,2,2,3,3,2,3,5,5,4,2,2,3
顧客050,4,4,4,4,4,4,3,3,3,4,4,4
顧客051,5,5,4,2,3,2,2,1,2,5,5,4
顧客052,3,3,3,5,4,5,4,5,4,3,3,3
顧客053,4,4,5,3,2,3,3,2,3,4,4,5
顧客054,2,3,2,4,3,4,5,4,5,2,3,2
顧客055,5,4,5,5,4,5,1,2,1,5,4,5
顧客056,3,4,3,4,5,4,4,4,4,3,4,3
顧客057,4,3,4,3,4,3,3,3,3,4,3,4
顧客058,5,5,5,2,3,2,2,2,2,5,5,5
顧客059,2,2,2,4,4,4,5,5,5,2,2,2
顧客060,4,4,4,4,4,4,3,3,3,4,4,4
顧客061,5,4,5,3,4,3,2,3,2,3,4,3
顧客062,3,3,4,5,5,4,4,4,4,2,3,4
顧客063,4,5,3,2,3,2,3,2,3,5,4,3
顧客064,2,3,2,3,2,3,5,4,5,3,2,2
顧客065,5,5,5,4,5,4,1,2,1,4,5,5
顧客066,3,4,3,5,4,5,4,3,4,2,3,3
顧客067,4,3,4,3,4,3,3,4,3,4,3,4
顧客068,5,4,5,2,3,2,2,2,2,5,4,5
顧客069,2,2,3,4,2,4,5,5,4,2,2,3
顧客070,4,4,4,3,4,3,3,3,3,4,4,4
顧客071,5,5,4,4,3,4,2,1,2,5,5,4
顧客072,3,3,3,5,5,5,4,5,4,3,3,3
顧客073,4,4,5,2,3,2,3,2,3,4,4,5
顧客074,2,3,2,3,4,3,5,4,5,2,3,2
顧客075,5,4,5,4,5,4,1,2,1,5,4,5
顧客076,3,4,3,5,4,5,4,4,4,3,4,3
顧客077,4,3,4,3,4,3,3,3,3,4,3,4
顧客078,5,5,5,2,2,2,2,2,2,5,5,5
顧客079,2,2,2,4,4,4,5,5,5,2,2,2
顧客080,4,4,4,4,4,4,3,3,3,4,4,4
顧客081,5,4,5,3,4,3,2,3,2,3,4,3
顧客082,3,3,4,5,4,5,4,4,4,2,3,4
顧客083,4,5,3,2,3,2,3,2,3,5,4,3
顧客084,2,3,2,3,2,3,5,4,5,3,2,2
