商品名,価格,重量,サイズ,品質スコア,人気度,満足度
スマートフォンA,98000,180,6.1,4.5,8.2,4.3
スマートフォンB,128000,195,6.7,4.8,8.8,4.6
スマートフォンC,78000,165,5.8,4.2,7.5,4.1
タブレットA,65000,520,10.9,4.4,7.8,4.2
タブレットB,85000,480,11.0,4.6,8.1,4.4
タブレットC,45000,550,10.1,3.9,6.9,3.8
ノートPCA,158000,1200,13.3,4.7,8.5,4.5
ノートPCB,98000,1450,14.0,4.3,7.6,4.1
ノートPCC,128000,1100,13.0,4.5,8.0,4.3
デスクトップA,78000,3200,0,4.2,7.2,4.0
デスクトップB,118000,2800,0,4.6,7.8,4.3
イヤホンA,18000,25,0,4.1,7.9,4.2
イヤホンB,28000,30,0,4.4,8.3,4.5
イヤホンC,8000,22,0,3.7,6.8,3.9
スピーカーA,35000,1200,0,4.3,7.7,4.2
スピーカーB,58000,2200,0,4.6,8.2,4.4
カメラA,158000,650,0,4.8,8.9,4.7
カメラB,98000,520,0,4.5,8.1,4.4
カメラC,228000,780,0,4.9,9.2,4.8
時計A,45000,85,42,4.2,7.5,4.1
時計B,128000,120,45,4.7,8.6,4.5
時計C,78000,95,40,4.4,7.9,4.3
